idspecies,ecofunct_group,sourceid
50446,Omnivorous,17500
50447,Omnivorous,17500
50448,Predator,17500
50449,Predator,17500
50450,Omnivorous,17500
50453,Omnivorous,17500
50454,Omnivorous,17500
50455,Omnivorous,17500
50456,Omnivorous,17500
50457,Omnivorous,17500
50459,Phytophagous,17500
50460,Phytophagous,17500
50461,Omnivorous,17500
50462,Omnivorous,17500
50463,Omnivorous,17500
50464,Phytophagous,17500
50465,Phytophagous,17500
50466,Omnivorous,17500
50467,Omnivorous,17500
50468,Omnivorous,17500
50469,Phytophagous,17500
50471,Predator,17500
50472,Phytophagous,17500
50473,Phytophagous,17500
50474,Phytophagous,17500
50475,Omnivorous,17500
50476,Omnivorous,17500
50477,Omnivorous,17500
50478,Phytophagous,17500
50479,Omnivorous,17500
50480,Omnivorous,17500
50481,Omnivorous,17500
50482,Omnivorous,17500
50483,Omnivorous,17500
50484,Omnivorous,17500
50485,Macroalgae,17500
50486,Macroalgae,17500
50487,Macroalgae,17500
50488,Macroalgae,17500
50493,Macroalgae,17500
50494,Phytoplankton,17500
50495,Macroalgae,10851
50496,Phytoplankton,17500
50497,Macroalgae,17500
50498,Phytoplankton,10851
50500,Macroalgae,17500
50501,Macroalgae,17500
50506,Macroalgae,17500
50510,Zoobenthos,17500
50513,Zoobenthos,17500
50514,Zooplankton,17500
50515,Zoobenthos,17500
50516,Zoobenthos,17500
50517,Zoobenthos,17500
50521,Zoobenthos,17500
50522,Zoobenthos,17500
50524,Zoobenthos,17500
50527,Zooplankton,17500
50528,Zoobenthos,17500
50530,Zoobenthos,17500
50531,Zoobenthos,10851
50533,Zoobenthos,17500
50534,Zoobenthos,17500
50535,Zoobenthos,17500
50536,Zoobenthos,17500
50539,Zoobenthos,17500
50542,Zoobenthos,17500
50543,Zoobenthos,17500
50545,Zoobenthos,17500
50547,Zoobenthos,17500
50548,Zoobenthos,17500
50550,Zoobenthos,10851
50551,Zoobenthos,10851
50553,Zoobenthos,17500
50554,Zoobenthos,17500
50555,Zoobenthos,17500
50556,Zoobenthos,17500
50559,Zoobenthos,17500
50560,Zoobenthos,17500
50561,Zoobenthos,17500
50564,Zoobenthos,17500
50565,Predaceous fish,17500
50566,Zoobenthos,17500
50567,Zoobenthos,10851
50568,Zoobenthos,10851
50570,Parasite,18264
50571,Parasite,18654
50572,Parasite,17500
50573,Parasite,18277
50574,Parasite,2115
50575,Parasite,2314
50576,Parasite,18309
50577,Parasite,17500
50578,Parasite,18313
50579,Parasite,18325
50580,Parasite,18329
50581,Parasite,17500
50582,Parasite,18341
50583,Parasite,
50584,Parasite,18361
50585,Parasite,18379
50586,Parasite,18341
50587,Parasite,17500
50588,Parasite,18426
50589,Parasite,17500
50590,Parasite,17500
50591,Parasite,17500
50592,Parasite,17500
50593,Parasite,17500
50594,Parasite,17500
50595,Parasite,18456
50596,Parasite,17500
50597,Parasite,2324
50598,Parasite,
50599,Parasite,1917
50600,Parasite,18339
50601,Parasite,18374
50602,Parasite,18672
50603,Parasite,17500
50604,Parasite,18341
50605,Parasite,17500
50606,Parasite,17500
50607,Parasite,1959
50608,Parasite,17500
50609,Parasite,17500
50610,Parasite,18525
50611,Parasite,18532
50612,Parasite,17500
50613,Parasite,17500
50614,Parasite,17500
50615,Parasite,17500
50616,Parasite,18564
50617,Parasite,
50618,Parasite,17500
50619,Parasite,17500
50620,Parasite,18591
50621,Parasite,2123
50622,Parasite,17500
50623,Parasite,18692
50624,Parasite,18711
50625,Parasite,2334
50626,Parasite,18729
50627,Parasite,2335
50628,Parasite,2336
50629,Parasite,18773
50630,Parasite,18779
50631,Parasite,17500
50632,Parasite,17500
50633,Parasite,18758
50634,Parasite,17500
50635,Parasite,18749
50636,Parasite,17500
50637,Parasite,17500
50638,Parasite,17500
50639,Parasite,17500
50640,Parasite,17500
50641,Parasite,17500
50642,Parasite,17500
50643,Parasite,17500
50644,Parasite,18277
50645,Parasite,17500
50646,Parasite,2008
50647,Parasite,18619
50648,Parasite,18578
50649,Parasite,18579
50650,Parasite,17500
50651,Parasite,17500
50652,Parasite,17500
50654,Detritovorous,7272
50655,Phytophagous,17500
50656,Phytophagous,7272
50657,Phytophagous,7272
50658,Phytophagous,7272
50659,Phytophagous,17500
50660,Phytophagous,17500
50661,Phytophagous,17500
50662,Phytophagous,7272
50663,Phytophagous,7272
50664,Detritovorous,17500
50665,Detritovorous,7272
50666,Phytophagous,7272
50667,Detritovorous,7272
50668,Phytophagous,7272
50669,Phytophagous,7272
50670,Phytophagous,17500
50671,Phytophagous,7272
50672,Parasite,7272
50673,Phytophagous,7272
50674,Phytophagous,17500
50675,Phytophagous,7272
50676,Predator,17500
50677,Predator,17500
50678,Detritovorous,7272
50679,Detritovorous,17500
50680,Phytophagous,7272
50682,Phytophagous,7272
50683,Phytophagous,7272
50684,Phytophagous,7272
50685,Phytophagous,7272
50686,Phytophagous,7272
50687,Phytophagous,7272
50688,Phytophagous,7272
50689,Phytophagous,7272
50690,Phytophagous,7272
50691,Phytophagous,17500
50692,Parasite,17500
50694,Parasite,17500
50695,Phytophagous,17500
50696,Phytophagous,7272
50697,Phytophagous,7272
50698,Phytophagous,7272
50699,Phytophagous,7272
50700,Detritovorous,7272
50701,Phytophagous,17500
50702,Detritovorous,17500
50703,Detritovorous,17500
50704,Parasite,7272
50705,Phytophagous,17500
50706,Phytophagous,17500
50707,Phytophagous,17500
50708,Phytophagous,7272
50709,Phytophagous,17500
50710,Detritovorous,17500
50711,Parasite,17500
50712,Detritovorous,7272
50713,Phytophagous,7272
50714,Phytophagous,7272
50715,Detritovorous,17500
50717,Phytophagous,7272
50718,Phytophagous,7272
