idspecies,id_sp_region,region_of_first_record,sourceid
50390,100821,Girona,""
50391,100824,"Riverf Mijares, Castellon Province",""
50392,100828,Obidos,""
50392,100829,Galiza,""
50393,100833,Algarve,""
50394,100834,Paul de Arzila (Coimbra),""
50395,100836,Algarve,""
50397,100839,Barcelona,""
50397,100843,Barcelona,""
50399,100845,Zannone Island,""
50400,100847,Southern France,""
50400,100852,Valencia,""
50401,100854,New Forest Hampshire,""
50402,100855,Isle of Man,""
50403,100856,Woburn,""
50404,100857,Zichron Ya'akov,""
50410,100864,Tel-Aviv,""
50412,100869,Haute-Corse,""
50412,100870,Tel-Aviv,""
50414,100873,"Tel-Aviv, Petach-Tikva",""
50415,100874,"Meaux east of Paris, South of Paris (Montsouris)",""
50415,100876,Sant Feliu de Llobregat (Barcelona),""
50415,100877,"St. James Park and Regent's Park, London",""
50416,100879,Barrinha de Esmoriz,""
50417,100880,Cote d'Azur,""
50417,100881,"Algarve, Alentejo",""
50418,100882,Cote d'Azur,""
50418,100883,Bikaat Ha'Yarden,""
50419,100885,Algarve,""
50421,100888,Lower Austria,""
50421,100890,Rutland,""
50423,100892,"riverine forest along Danube (Grafenegg/Krems), Lower Austria",""
50110,100268,unknown,""
50111,100269,unknown,""
50112,100270,"Lough Derg, Co Clare.",""
50115,100273,"Cork Harbour, Co Cork.",""
50119,100277,Clare Island Co Mayo.,""
50121,100279,"Aran Islands, Co Clare.",""
50125,100283,unknown,""
50130,100288,unknown,""
50131,100289,"Lough Gur, Co Limerick.",""
50137,100295,"Lough Furnace, Co Mayo.",""
50140,100298,unknown,""
50141,100299,unknown,""
563,100300,"Loughkeelan, Co Down.",""
50150,100308,"Lady's Island Lake, Co Wexford.",""
50152,100310,"River Suir Estuary, Co Waterford.",""
50160,100318,"Strangford Lough, Co Down.",""
50164,100322,"Wicklow pond, Co Wicklow.",""
50166,100324,"Malahide Estuary, Co Dublin.",""
50167,100325,"Garadice Lough, Co Cavan.",""
50168,100326,"River Strule, Co Tyrone.",""
50175,100333,"River Shannon, Co Galway.",""
50177,100335,"Lough Neagh, Co Armagh.",""
50178,100336,"Probably Blackwater River, Co Cork.",""
50183,100341,unknown,""
50184,100342,"Cleggan, Co Galway.",""
1152,100343,"Royal Canal, Co Dublin.",""
50188,100346,"Ballynakill Bay, Co Galway.",""
50189,100347,"Dublin Bay, Co Dublin.",""
50190,100348,"Ardbear Lough, Co Galway.",""
1122,100354,"Rusheenduff Lough, Co Galway.",""
50202,100360,"Boyne River, Co Meath.",""
50210,100368,"Lough Neagh, Co Armagh.",""
50211,100369,"Lough Hyne, Co Cork.",""
50212,100370,"Botanic Gardens, Co Dublin.",""
624,100371,"Upper Killarney Lake, Co Kerry",""
50216,100374,"Rossbeigh, Co Kerry.",""
50220,100378,"Cork Harbour, Co Cork.",""
50221,100379,"Lough Hyne, Co Cork.",""
50222,100380,"Lough Hyne, Co Cork.",""
50223,100381,unknown,""
50226,100384,"Cork Harbour, Co Cork.",""
50239,100397,"Lough Hyne, Co Cork.",""
50241,100399,unknown,""
50242,100400,"Bantry Bay, Co Cork.",""
50243,100401,Co Dublin.,""
50246,100404,"Lough Hyne, Co Cork.",""
50248,100406,"Barrow Navigation, Co Kildare.",""
50249,100407,"Dublin Bay, Co Dublin.",""
50251,100409,unknown,""
50253,100411,"Lough Hyne, Co Cork.",""
50254,100412,"Castlemartyr, Co Cork.",""
50260,100418,unknown,""
50080,100419,unknown,""
50266,100425,"Lough Erne, Co Fermanagh.",""
1042,100429,"Upper Lough Erne, Co Fermanagh.",""
50272,100431,"Killary Harbour, Co Galway.",""
50276,100435,"Cork Harbour, Co Cork.",""
50277,100436,"Belfast Lough, Co Antrim.",""
50278,100437,"Grand Canal, Co Dublin.",""
50280,100439,unknown,""
50281,100440,"Lough Corrib system, Co Galway.",""
50282,100441,"Lough Sheelin, Co Cavan.",""
50284,100443,"Acres Lake, Co Leitrim.",""
50322,100561,Northern Spain,""
50338,100613,"Dersingham, SW Norfolk",""
50340,100617,Lake Constance region?,""
50384,100791,Torshavn and Vagur on Suduroy on Faeroes,""
50400,100848,Tuscany,""
50400,100849,Sicily,""
50423,100896,Sologne,""
50423,100897,Lower Rhine,""
50423,100901,"Pojezierze Bytowskie in Western Pomerania, near Miastko",""
50424,100905,Tirol,""
50424,100907,Tenerife,""
50424,100908,near Braunschweig,""
50424,100909,Athens,""
50424,100910,several places,""
50424,100911,"Margaretting, Essex; Windsor Great Park, Berkshire; New Forest, Hampshire",""
50425,100912,near Wien,""
50425,100914,Brussels,""
50425,100916,Sazava in central Bohemia,""
50425,100917,Sazava in central Bohemia,""
50425,100918,Paris,""
50425,100919,Berlin,""
50425,100920,"Tel-Aviv, Yarkona",""
50425,100921,Milano,""
50425,100922,"Catania, Sicily",""
50425,100924,Amsterdam,""
50425,100925,ValenÃ§a,""
50425,100927,Barcelona,""
50425,100928,"Whipsnade Park, Bedfordshire",""
50426,100929,Tenerife,""
50426,100930,"Emek Hefer, s. of Carmel Mt.",""
50426,100931,Molins de Rei (Barcelona),""
50429,100936,Southern France,""
50429,100939,Madeira and Porto Santo,""
50429,100940,Houghton Park,""
50430,100941,Tel Aviv University Zoo,""
50430,100942,Edinburgh Zoo,""
50431,100944,Valencia,""
50432,100945,Vorarlberg (FuÃŸacher Bucht 1991),""
50432,100946,"Antwerp, Linkeroever-Blokkersdijk",""
50432,100953,Lough Neagh in Ulster,""
50432,100964,"Slimbridge, Gloucestershire",""
50433,100965,Ein-Gedi,""
50434,100966,"Palude Brabbia (Varese, Lombardia)",""
50435,100967,"Palude Brabbia (Varese, Lombardia)",""
50438,100972,Fuerteventura; Lanzarote,""
50438,100973,Funchal; various places,""
50439,100976,Vienna (Lobau),""
50439,100979,Madeira and Porto Santo,""
50439,100980,Northamptonshire,""
50443,100986,Tuvinian district,""
50444,100989,"Kolossi, Limassol District",""
50444,100993,Shapinsay in Orkneys; Inner Hebrides; Outer Hebrides,""
50445,100994,"Jerusalem Biblical Zoo, Ramat-Gan-Tel Aviv Zoological Centre",""
50446,100998,"Styria, Tyrol",""
50446,101001,Brabant,""
50446,101004,surrounding of VaraÅ¾din (estate of count Bombelles),""
50446,101005,"Aghirda, Kyrenia District",""
50446,101007,Helsinki,""
50446,101020,Madiera,""
50446,101023,Baerum near Oslo,""
50446,101031,Salburua (Ã,""
50446,101032,Southern Sweden,""
50446,101035,"Odessa, Biryuchiv Peninsula, Sea of Azov",""
50448,101039,Camargue,""
50448,101040,Zwillbrocker Venn,""
50449,101046,"Ebre delta, Tarragona",""
50450,101047,Asinara island,""
50453,101055,Arade,""
50453,101057,Castiglione del Lago,""
50455,101062,Herdade da Barroca d'Alva (Alcochete),""
50455,101063,Guadalhorce (Malaga),""
50457,101066,Yarkon River in Tel Aviv,""
50458,101068,Tenerife,""
50458,101070,Barcelona,""
50458,101071,"Longjumeau (foret de pontacarre, 91)",""
50459,101072,Brussels,""
50459,101073,Wiesbaden,""
50459,101074,Emek Ha'Yarden,""
50459,101075,Reggio Emilia in Emilio-Romagna,""
50459,101077,"Topkapi Palace woods, Central Istanbul",""
50459,101078,Fazakerley,""
50460,101079,Vienna (TÃ¼rkenschanzpark),""
50460,101080,Sao Miguel,""
50460,101081,Brussels,""
50460,101082,Dubrovnik,""
50460,101083,Jagny-sous-Bois in Val-d'Oise,""
50460,101084,Koln Zoo,""
50460,101085,Athens-Aigion-Aigina,""
50460,101087,Aigina and Leros Isl.,""
50460,101088,"Tel Aviv Zoo; Gush-Dan, Bustan Ha'Galil",""
50460,101089,Genova,""
50460,101090,"Catania, Siracusa, Palermo",""
50460,101091,"Rotterdam, Amsterdam, The Hague, west Netherlands",""
50460,101092,Lisbon,""
50460,101093,S.W. Slovenia,""
50460,101094,Majorca,""
50460,101095,Gran Canary,""
50460,101096,Barcelona,""
50460,101097,Mendrisio in Mendrisiotto,""
50460,101098,Kavakhdere district in Ankara,""
50460,101099,Northrepps in Norfolk,""
50465,101107,"Santo Andre Lagoon, Alentejo",""
50465,101108,Barcelona,""
50466,101109,near LÃ¼beck,""
50466,101110,Askania Nova,""
50467,101111,Askania Nova,""
50469,101115,Skokholm Island off coast of Wales,""
50471,101117,Lofoten,""
50472,101119,St. James Park,""
50473,101120,Tenerife,""
50473,101121,"""Finikoudhes"", Larnaca sea-front, Larnaca, Larnaca Disrtrict",""
50473,101123,Tel-Aviv,""
50473,101124,Petrolito (Siracusa),""
50474,101127,"Ramle,Lod, Acco,Jaffa",""
50475,101131,Yarkon River in Tel Aviv,""
50476,101133,Yarkon River in Tel Aviv,""
50477,101135,Lower Austria (Wiener Becken),""
50477,101136,Moravia,""
50477,101137,"Bourgogne, northern France",""
50477,101140,Markree Castle in County Sligo,""
50477,101141,Inverness-shire in Scotland,""
50478,101142,Upper Austria,""
50478,101145,Prague Zoo,""
50478,101149,near Tel Aiv Zoological gardens,""
50478,101152,Wroclaw Zoo,""
50478,101154,Askaniya Nova,""
50479,101156,Arade river,""
50480,101158,"Bretagne, Aude",""
50480,101159,Parco delle Lame del Sesia (Vercelli),""
50480,101160,"Alphen aan de Rijn, Zuid-Holland",""
50480,101161,Mondego river valley,""
50480,101162,Barcelona Zoo,""
50481,101164,Guildford,""
50484,101169,Tel-Aviv,""
50122,101302,Italy,""
50571,101304,Unknown,""
50575,101308,Italy,""
50577,101310,Russia,""
50578,101311,Italy,""
50579,101312,United Kingdom,""
50580,101313,United Kingdom,""
50582,101315,"United Kindom (England, Ireland)",""
50583,101316,Germany,""
50584,101317,Netherlands,""
50585,101318,France,""
50587,101320,Germany,""
50588,101321,"Germany, Switzerland",""
50589,101322,Unknown,""
50590,101323,France,""
50591,101324,United Kingdom,""
50592,101325,Hungary,""
50593,101326,Poland,""
50594,101327,Ukraine,""
50595,101328,Slovenia,""
50597,101330,Spain,""
50598,101331,unknown,""
50599,101332,Unknown,""
50601,101334,Germany,""
50602,101335,Italy (Sicily),""
50603,101336,Unknown,""
50606,101339,Yugoslavia,""
50607,101340,France,""
50608,101341,"Estonia, Lithuania, latvia",""
50609,101342,Lithuania,""
50610,101343,Croatia,""
50612,101345,Greece,""
50613,101346,France,""
50614,101347,Italy,""
50615,101348,"Moldova-Ukraine and  Britain for subsp novo-ulmi and americana, respectively",""
50616,101349,North-West Europe,""
50618,101351,Switzerland,""
50619,101352,Russia,""
50620,101353,Unknown,""
50622,101355,Hungary,""
50625,101358,Portugal (possibly from Azores),""
50632,101365,France,""
50634,101367,Germany,""
50636,101369,Russia,""
50637,101370,Russia,""
50638,101371,England,""
50639,101372,France,""
50640,101373,Ukraine,""
50641,101374,United Kingdom,""
50642,101375,France,""
50644,101377,United Kingdom (Scotland),""
50646,101379,France,""
50648,101381,Unknown,""
50651,101384,Austria,""
50652,101385,Serbia,""
50615,102503,North,""
50616,102504,North,""
50680,102563,Aische-en-Refail,""
50668,102568,South Belgium,""
50706,102618,Karlstejn castle near Prague Prague,""
50732,102681,Berlin area,""
50750,102721,southern Finland,""
50752,102723,Southern Finland,""
50760,102737,Ajaccio,""
50851,102745,"southeast (Porto Vecchio, Bonifacio)",""
50760,102757,Paris,""
50686,102787,Ile-de-France / Seine-et-Marne / Varennes-sur-Seine,""
50751,102814,Bonneuil-en-France (Val d'Oise 95) Ile-de-France Taussat (Gironde),""
50706,102818,Alsace / Haut-Rhin / Wintzenheim,""
50811,102888,"Catania, Randazzo",""
50830,102898,"Veneto,Padua Province",""
50831,102900,Lombardia,""
50811,102910,"Piemonte, Turin province",""
50752,102915,ThÃ¼ringen,""
50840,102925,"Berlin, East Germany",""
50815,103034,Cagliari,""
50680,103038,Wr. Neustadt,""
50927,103197,Bouches-du-RhÃ´ne,""
50954,103261,Lot-et-Garonne,""
50682,103309,Vaals,""
50950,103322,"LÃ¶rrach, Bade-Wurtemberg",""
50988,103397,"Ano Archanes Aghios Syllas Archanes, Peza (Heraklion prefecture) Khania (Khania prefecture)",""
50669,103501,SlovenskÃ½ raj,""
50985,103548,The Hague Amsterdam Utrecht Driebergen Bennekom Ede Wageningen Arnhem,""
51058,103686,Grisons,""
50811,103697,Curral das Freiras,""
50985,103699,Sao Vicente,""
51061,103703,Ribeira Brava,""
50793,103713,Funchal area,""
50740,103715,Funchal area,""
50745,103728,Funchal area,""
51079,103763,Kew,""
51087,103779,Ribeiro frio,""
51088,103782,Curral das Freiras,""
50752,103827,Southern Finland,""
51124,103855,North,""
51143,103896,Sintra,""
50793,103912,Alenquer,""
50740,103914,Oeiras,""
51157,103920,Lisbon,""
50745,103932,"FundÃ£o, S. Fiel",""
50673,103936,Braga,""
50815,103963,Ã‰vora,""
51212,104044,Bucarest area,""
50732,104096,Novi Sad,""
51021,104141,H P G T C,""
51248,104143,T,""
51250,104145,P G T C,""
51252,104148,P T C F,""
51002,104150,T C L,""
51255,104152,C,""
51047,104174,T,""
50789,104192,Teneriffe,""
51346,104388,Wien,""
51218,104565,Palermo province,""
50740,104577,Catania,""
51035,104594,Catania,""
51405,104631,"Catania, Loc. foce del Simeto",""
51437,104727,Vienna,""
51471,104795,Vienna,""
51124,104878,Liguria,""
51494,104881,Northern Italy,""
51528,105022,"Trentino, Emilia",""
50882,105026,Piemonte,""
51387,105032,Sicily,""
51218,105036,Campania,""
50661,105040,"Campania, Neaples",""
50740,105062,"Sicily, Catania",""
51349,105074,North and central Italy,""
51229,105076,"North and central Italy, Sicily",""
51035,105080,Calabria,""
51543,105086,"Lombardia, Piedmont",""
51396,105098,"Lombardia, Campania",""
51558,105151,Oost-Vlaanderen,""
51416,105157,Piedmont,""
51609,105343,Limburg,""
51451,105399,Ostende,""
51470,105409,"Herstal, nr. LiÃ¨ge",""
51633,105440,Veneto,""
51655,105562,Campania,""
50948,105658,Friuli Venezia Giulia,""
51690,105660,Tuscany,""
51398,105759,Druzba,""
51155,106215,Prague,""
51398,106225,Praha,""
51619,106276,Prague,""
51581,106476,NEZ,""
51609,106550,Klosterkov,""
50936,106706,Saaremaa Isle,""
50740,107072,San Giuliano (Corse) France,""
51124,107108,Haute-Corse,""
51927,107190,Deux-SÃ¨vres,""
51943,107276,Basse-Normandie / Orne / Putanges-Pont-Ecrepin,""
51949,107315,"southeast (Porto Vecchio, Bonifacio)",""
50749,107348,Varennes-sur-Seine (Seine-et-Marne 77) Ile-de-France,""
50673,107349,Jardin Alpin du MusÃ©um (Paris),""
51061,107350,Rennes (Ile et Vilaine) OrlÃ©ans (Loiret),""
51396,107351,Colmar (Haut Rhin) Landiras (Gironde),""
50746,107356,"Colmar, Loos-en-Gobelle",""
51562,107364,Montpellier,""
51959,107366,Montpellier (HÃ©rault 34),""
50811,107387,Le Rheu ( Ille et Vilaine 35) France Landerneau (FinistÃ¨re 29) France Angers (Maine et Loire 49) France,""
50699,107389,Cannes,""
51066,107391,Aix,""
51229,107404,Provence-Alpes-CÃ´te d'azur / Var / Saint-Maximin-La-Sainte-Baume,""
51349,107405,Provence-Alpes-CÃ¶ted'azur / Bouches du RhÃ´ne / Marseille,""
51688,107417,"Colmar, France (1987) Region languedoc Roussillon, France (1988)",""
51155,107429,mÃ©ditteranean rÃ©gion,""
50740,107430,Montpellier (HÃ©rault(34)) France,""
51221,107432,RhÃ´ne-Alpes / RhÃ´ne / Saint-Genis-laval,""
50738,107441,"Bures-sur-Yvette (Essonne (91)), France Varennes-sur-Seine (Seine-et-Marne (77)) France",""
50736,107442,"Sucy-en-Brie (Val de Marne (94)) Ile-de-France, France",""
51973,107453,Northwestern France,""
51980,107478,"Marseille, Paris",""
51907,107479,southwest France (RiviÃ¨re- Landes),""
51124,107569,CÃ´te d'Azur,""
52001,107635,Var,""
50947,107662,"Kazani, nr Krusevo & nr. Resen",""
52035,107943,Stuttgart,""
51390,107944,upper Rhine plain near Speyer,""
50750,107946,Bavaria,""
52081,108611,"Burren (Co. Clare, Ireland)",""
52190,109583,Bazlan,""
50920,109734,Leiden,""
52196,109745,Kortgene,""
50936,109748,Zevenhuizen,""
50937,109749,Leiden,""
51556,109751,Geulle,""
51558,109755,Belfeld,""
52197,109757,Putten,""
50947,109758,Putten,""
50948,109760,Wageningen,""
