SP_idspecies,SP_genus,SP_species,SP_authority,SP_subtaxon,SP_subtaxon_rank,SP_subtaxon_authority,TG_taxon_group,SP_phylum,SP_class,SP_ordo,SP_family,EG_ecofunct_group,SP_sourceid
"8170","Fallopia","sachalinensis","(F. Schmidt ex Maxim. ) Ronse Decr.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8196","Muehlenbeckia","complexa","(A. Cunn.) Meissner","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"9"
"8204","Muehlenbeckia","sagittifolia","(Gómez Ortega) Meissner","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8211","Persicaria","x fennica","(Reiersen) Stace","","hyb.","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8216","Persicaria","alpina","(All.) Gross","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8221","Persicaria","amphibia","(L.) Gray","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8223","Persicaria","amplexicaulis","(D. Don) Ronse Decraene","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8229","Persicaria","campanulata","(Hook. f.) Ronse Decraene","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8232","Persicaria","capitata","(Buch-Hamilton ex D. Don) H.Gross","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8242","Persicaria","filiformis","(Thunb.) Nakai","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"5"
"8243","Persicaria","hydropiper","(L.) Spach","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8245","Persicaria","hydropiperoides","(Michx.) Small.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8247","Persicaria","lanigera","(R. Br.) Soják","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8251","Persicaria","lapathifolia","(L.) Gray","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8279","Persicaria","longiseta","(Bruijn) Kitagawa","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8282","Persicaria","maculosa","Gray","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8290","Persicaria","minor","(Huds.) Opiz","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8296","Persicaria","mitis","(Schrank) Assenov","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8298","Persicaria","mollis","(D. Don) Gross","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8303","Persicaria","nepalensis","(Meissner) Gross","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8306","Persicaria","orientalis","(L.) Vilm.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8317","Persicaria","pensylvanica","(L.) M. Gómez","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8323","Persicaria","sagittata","(L.) Gross ex Nakai","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8326","Persicaria","salicifolia","(Brouss. ex Willd.) Assenov.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8328","Persicaria","senegalensis","(Meisner) Soják","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8333","Persicaria","virginiana","(L.) Gaertn.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8335","Persicaria","wallichii","Greuter & Burdet","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8353","Persicaria","weyrichii","(F. Schmidt ex Maxim.) Ronse Decraene","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8358","Polygonum","achoreum","S.F. Blake","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"19"
"8360","Polygonum","arenarium","Waldst. & Kit.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"9"
"8362","Polygonum","arenarium","Waldst. & Kit.","pulchellum","subsp.","(Loisel.) D.A. Webb & Chater","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8364","Polygonum","arenastrum","Boreau","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8372","Polygonum","argyrocoleon","Steud. ex Kunze","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8374","Polygonum","aviculare","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8389","Polygonum","bellardii","All.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"19"
"8391","Polygonum","bistorta","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8395","Polygonum","cognatum","Meisn.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8397","Polygonum","divaricatum","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8399","Polygonum","equisetiforme","Sm.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8400","Polygonum","minus","Hudson","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"19"
"8401","Polygonum","multiflorum","Thunb.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8405","Polygonum","oxyspermum","C.A. Mey. & Bunge ex Ledeb.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8408","Polygonum","patulum","M. Bieb.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"9"
"8413","Polygonum","plebejum","R. Br.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8418","Polygonum","romanum","(Raffaelli) Raffaelli & L. Villar","gallicum","subsp.","Raffaelli","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8420","Polygonum","rurivagum","Jordan ex Boreau","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"9"
"8425","Rheum","x hybridum","Murray","","hyb.","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8442","Rheum","palmatum","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"9"
"8444","Rheum","rhaponticum","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8445","Rumex","x confusus","Simonkai","","hyb.","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"10"
"8447","Rumex","x corconticus","Kubát","","hyb.","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8451","Rumex","x cornubiensis","D.T. Holyoak","","hyb.","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8453","Rumex","x dimidiatus","Hausskn.","","hyb.","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8455","Rumex","x erubescens"," Simonk.","","hyb.","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8457","Rumex","x hybridus","Kindberg","","hyb.","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8461","Rumex","x lousleyi","D.H. Kent","","hyb.","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"5"
"8463","Rumex","x mezii","Haussknecht","","hyb.","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"19"
"8468","Rumex","x propinquus","Aresch.","","hyb.","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8472","Rumex","x skofitzii","Blocki","","hyb.","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8479","Rumex","acetosa","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8480","Rumex","acetosa","L.","ambiguus","subsp.","(Gren.) ÃƒÂ","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8485","Rumex","acetosa","L.","thyrsiflorus","subsp.","(Fingerhuth) Hayek","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"15"
"8489","Rumex","acetosella","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8492","Rumex","altissimus","Wood","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8495","Rumex","brownii","Campdera","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8498","Rumex","bucephalophorus","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"9"
"8500","Rumex","bucephalophorus","L.","canariensis","subsp.","(Steinh.) Rech.f.","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8501","Rumex","confertus","Willd.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8504","Rumex","conglomeratus","Murray","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8505","Rumex","conglomeratus x patientia","","","hyb.","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8507","Rumex","crispus","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8509","Rumex","cristatus","DC.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8512","Rumex","cristatus","DC.","cristatus","subsp.","DC.","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8516","Rumex","cristatus x palustris","","","hyb.","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8517","Rumex","cristatus x patientia","","","hyb.","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8520","Rumex","dentatus","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8524","Rumex","frutescens","Thouars","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8529","Rumex","hydrolapathum","Huds.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8530","Rumex","kerneri","Borbás","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"15"
"8532","Rumex","longifolius","","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"17500"
"8535","Rumex","longifolius/obtusifolius","","","agg.","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8536","Rumex","lunaria","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8537","Rumex","maritimus","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8538","Rumex","obovatus","Danser","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8540","Rumex","obtusifolius","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"9"
"8542","Rumex","obtusifolius","L.","obtusifolius","subsp.","L.","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"6"
"8545","Rumex","obtusifolius","L.","sylvestris","subsp.","(Wallr.) Rech. f.","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8547","Rumex","obtusifolius","L.","transiens","subsp.","(Simonk.) Rech. f.","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"19"
"8551","Rumex","palustris","Sm.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8553","Rumex","patientia","","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"17500"
"8558","Rumex","patientia","L.","patientia","subsp.","L.","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"19"
"8560","Rumex","patientia","L.","recurvatus","subsp.","(Rech.) Rech. f.","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8561","Rumex","pseudoalpinus","Höfft","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8568","Rumex","pulcher","","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"17500"
"8571","Rumex","pulcher","L.","pulcher","subsp.","L.","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8572","Rumex","pulcher","L.","woodsii","subsp.","(De Not.) Arcang.","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8574","Rumex","salicifolius","(Danser) J.A. Weinm.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8587","Rumex","salicifolius","Weinm.","triangulivalvis","subsp.","Danser","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8588","Rumex","sanguineus","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8589","Rumex","scutatus","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"4"
"8595","Rumex","stenophyllus","","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"17500"
"8596","Rumex","vesicarius","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"9"
"8599","Rumex","violascens","Rech. f.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Polygonaceae",\N,"26"
"8600","Armeria","arenaria","(Pers.) Schult.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Plumbaginaceae",\N,"26"
"8607","Armeria","maritima","(Mill.) Willd.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Plumbaginaceae",\N,"9"
"8611","Armeria","maritima","(Mill.) Willd.","elongata","subsp.","(Hoffm.) Bonnier","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Plumbaginaceae",\N,"6"
"8614","Armeria","maritima","Willd.","halleri","subsp.","(Wallr.) Rothm.","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Plumbaginaceae",\N,"6"
"8616","Armeria","maritima","(Mill.) Willd.","intermedia","subsp.","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Plumbaginaceae",\N,"6"
"8618","Ceratostigma","plumbaginoides","Bunge","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Plumbaginaceae",\N,"9"
"8620","Goniolimon","tataricum","(L.) Boiss.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Plumbaginaceae",\N,"9"
"8623","Limoniastrum","monopetalum","(L.) Boiss.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Plumbaginaceae",\N,"9"
"8624","Limonium","gerberi","Soldano","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Plumbaginaceae",\N,"19"
"8627","Limonium","hyblaeum","Brullo","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Plumbaginaceae",\N,"6"
"8630","Limonium","sinuatum","(L.) Miller","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Plumbaginaceae",\N,"6"
"8633","Limonium","vulgare","Mill.","serotinum","subsp.","(Reichb.) Gams","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Plumbaginaceae",\N,"26"
"8634","Plumbago","auriculata","Lam.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Plumbaginaceae",\N,"9"
"8636","Phytolacca","acinosa","Roxb.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Phytolaccaceae",\N,"6"
"8642","Phytolacca","americana","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Phytolaccaceae",\N,"9"
"8650","Phytolacca","dioica","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Phytolaccaceae",\N,"9"
"8652","Phytolacca","esculenta","Van Houtte","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Phytolaccaceae",\N,"9"
"8659","Phytolacca","heterotepala","H. Walter","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Phytolaccaceae",\N,"6"
"8660","Phytolacca","polyandra","Batalin","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Phytolaccaceae",\N,"6"
"8663","Rivina","humilis","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Phytolaccaceae",\N,"26"
"8664","Rivina","laevis","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Phytolaccaceae",\N,"5"
"8666","Abronia","fragrans","Nutt.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Nyctaginaceae",\N,"26"
"8667","Boerhavia","repens","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Nyctaginaceae",\N,"26"
"8668","Bougainvillea","glabra","Choisy","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Nyctaginaceae",\N,"6"
"8669","Commicarpus","africanus","(Lour.) Dandy in F.W. Andrews","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Nyctaginaceae",\N,"6"
"8671","Commicarpus","helenae","(Schult.) Meikle","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Nyctaginaceae",\N,"6"
"8673","Mirabilis","jalapa","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Nyctaginaceae",\N,"9"
"8676","Mirabilis","longiflora","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Nyctaginaceae",\N,"9"
"8679","Oxybaphus","nyctagineus","","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Nyctaginaceae",\N,"17500"
"8686","Mollugo","cerviana","(L.) Ser.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Molluginaceae",\N,"26"
"8687","Mollugo","verticillata","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Molluginaceae",\N,"9"
"8688","Frankenia","laevis","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Frankeniaceae",\N,"26"
"8689","Frankenia","pulverulenta","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Frankeniaceae",\N,"26"
"8690","Aldrovanda","vesiculosa","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Droseraceae",\N,"9"
"8691","Drosera","capensis","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Caryophyllales","Droseraceae",\N,"6"
"8692","Thesium","arvense","Horvatovszky","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Santalales","Santalaceae",\N,"26"
"8696","Thesium","refractum","C.A. Mey.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Santalales","Santalaceae",\N,"26"
"8697","Aeonium","arboreum","(L.) Webb & Berth.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"6"
"8703","Aeonium","cuneatum","Webb & Berth.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"6"
"8705","Aeonium","decorum","Webb ex Bolle","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"26"
"8706","Aeonium","glutinosum","(Ait.) Webb & Berth","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"5"
"8707","Aeonium","haworthii","Webb & Berth.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"6"
"8711","Aeonium","simsii","(Sweet) Stearn","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"5"
"8712","Aichryson","dichotomum","(DC.) Webb & Berth.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"9"
"8719","Bryophyllum","fedtschenkoi","(Raym.-Hamet & H. Perrier) Lauz.-March.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"26"
"8721","Bryophyllum","proliferum","Bowie ex Curtis","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"6"
"8722","Cotyledon","macracantha","Berger","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"6"
"8724","Cotyledon","orbiculata","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"26"
"8725","Crassula","aquatica","(L.) Schönl.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"9"
"8729","Crassula","arborescens","(Mill.) Willd.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"6"
"8730","Crassula","argentea","L. f.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"6"
"8732","Crassula","campestris","(Ecklon & Zeyher) Walpers","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"26"
"8735","Crassula","decumbens","Thunb.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"9"
"8738","Crassula","helmsii","","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"17500"
"8747","Crassula","lycopodioides","Lam.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"6"
"8748","Crassula","multicava","Lemaire","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"6"
"8750","Crassula","ovata","(P. Mill.) Druce","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"6"
"8751","Crassula","peduncularis","(Smith) Meigen","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"9"
"8761","Crassula","pubescens","Thunb.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"6"
"8763","Crassula","rupestris","Thunb.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"6"
"8764","Crassula","tetragona","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"5"
"8765","Crassula","tillaea","Lester - Garland","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"6"
"8769","Crassula","vaillantii","(Willd.) Roth","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"26"
"8771","Graptopetalum","paraguayense","(N.E. Br.) Walther","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"6"
"8774","Hylotelephium","carpaticum","(G. Reuss) Soják","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"26"
"8777","Jovibarba","globifera","(L.) J. Parn.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"9"
"8779","Jovibarba","globifera","(L.) J. Parn.","allionii","subsp.","(Jord. & Fourr.) J. Parn.","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"9"
"8787","Kalanchoë","daigremontiana","R Hamet & H Perrier","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"6"
"8793","Kalanchoë","longiflora","Schlechter.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"6"
"8795","Kalanchoë","pinnata","(Lam.) Pers.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"9"
"8800","Kalanchoë","tubiflora","(Harvey) Raym.-Hamet","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"6"
"8808","Sedum","acre","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"26"
"8809","Sedum","aizoon","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"6"
"8815","Sedum","album","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"9"
"8817","Sedum","anacampseros","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"9"
"8821","Sedum","annuum","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"9"
"8822","Sedum","anopetalum","DC.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"19"
"8826","Sedum","arboroseum","Bak.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"6"
"8827","Sedum","cepaea","L.","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"9"
"8828","Sedum","confusum","Hemsley","","","","Magnoliophyta","Magnoliophyta","Rosopsida","Saxifragales","Crassulaceae",\N,"6"
