id_sp_region,idspecies,vector2,sourceid,notes,last_updated
"100574","50323","Unknown",,"U","2006-04-06 00:00:00"
"100575","50323","Escaped",,"E","2005-12-12 00:00:00"
"100576","50323","Unknown",,"U","2006-10-03 00:00:00"
"100578","50323","Escaped",,"E","2006-04-23 00:00:00"
"100579","50323","Escaped",,"E,R","2005-11-23 00:00:00"
"100579","50323","Released",,"E,R","2005-11-23 00:00:00"
"100580","50324","Released",,"R","2006-05-03 00:00:00"
"100581","50324","Unknown",,"U","2005-10-27 00:00:00"
"100582","50325","Unknown",,"U","2006-02-23 00:00:00"
"100583","50325","Escaped",,"E","2006-01-21 00:00:00"
"100584","50325","Unknown",,"U","2006-04-06 00:00:00"
"100585","50325","Unknown",,"U","2005-12-19 00:00:00"
"100586","50325","Unknown",,"U","2005-12-15 00:00:00"
"100588","50326","Unknown",,"U","2005-10-27 00:00:00"
"100589","50327","Unknown",,"U","2006-02-20 00:00:00"
"100590","50327","Escaped",,"E,R","2006-11-26 00:00:00"
"100590","50327","Released",,"E,R","2006-11-26 00:00:00"
"100591","50327","Unknown",,"U","2006-04-06 00:00:00"
"100592","50327","Unknown",,"U","2006-11-26 00:00:00"
"100593","50327","Escaped",,"E,R","2006-02-02 00:00:00"
"100593","50327","Released",,"E,R","2006-02-02 00:00:00"
"100594","50328","Escaped",,"E,R","2006-02-02 00:00:00"
"100594","50328","Released",,"E,R","2006-02-02 00:00:00"
"100595","50329","Unknown",,"U","2006-11-26 00:00:00"
"100596","50330","Unknown",,"U","2006-11-26 00:00:00"
"100597","50330","Unknown",,"U","2006-11-26 00:00:00"
"100598","50331","Escaped",,"E,R","2006-02-02 00:00:00"
"100598","50331","Released",,"E,R","2006-02-02 00:00:00"
"100599","50332","Released",,"R","2006-02-08 00:00:00"
"100600","50333","Unknown",,"U","2005-11-09 00:00:00"
"100601","50333","Unknown",,"U","2005-11-09 00:00:00"
"100603","50334","Escaped",,"E","2006-01-22 00:00:00"
"100604","50335","Unknown",,"U ","2005-10-27 00:00:00"
"100605","50336","Escaped",,"E ","2005-11-22 00:00:00"
"100606","50336","Escaped",,"E","2005-10-27 00:00:00"
"100607","50336","Escaped",,"E","2005-10-27 00:00:00"
"100608","50336","Escaped",,"E","2005-10-27 00:00:00"
"100609","50336","Escaped",,"E","2005-10-27 00:00:00"
"100610","50336","Escaped",,"E","2005-10-27 00:00:00"
"100611","50336","Escaped",,"E","2005-10-27 00:00:00"
"100613","50338","Released",,"R ","2005-12-12 00:00:00"
"100614","50339","Unknown",,"U","2005-11-07 00:00:00"
"100615","50340","Unknown",,"U ","2005-11-01 00:00:00"
"100616","50340","Released",,"R","2005-11-22 00:00:00"
"100617","50340","Unknown",,"U","2005-11-09 00:00:00"
"100618","50340","Released",,"R","2005-12-05 00:00:00"
"100620","50341","Escaped",,"E,R","2005-11-23 00:00:00"
"100620","50341","Released",,"E,R","2005-11-23 00:00:00"
"100622","50342","Escaped",,"E","2006-04-23 00:00:00"
