id_sp_region,idspecies,sourceid,region
"19060","17668",,"Europe"
"19062","21657",,"Northern America"
"19065","21701",,"Northern America"
"19066","21719",,"Southern America"
"19069","22131",,"Europe"
"19070","22148",,"Macaronesia"
"19073","22223",,"Europe"
"19074","22252",,"Northern America"
"19075","22281",,"Northern America"
"19076","22306",,"Northern America"
"19088","22746",,"Arabian Peninsula"
"19089","22759",,"Arabian Peninsula"
"19090","23273",,"Northern America"
"19091","21664",,"Southern Africa"
"19092","21679",,"Eastern Asia"
"19097","21890",,"Southern America"
"19098","21934",,"Southern America"
"19100","21969",,"Northern America"
"19101","21999",,"Northern America"
"19102","22017",,"Australasia"
"19104","22033",,"Northern America"
"19105","22090",,"Arabian Peninsula"
"19106","22052",,"Europe"
"19107","22055",,"Europe"
"19110","22495",,"Northern America"
"19113","22730",,"Northern America"
"19114","22867",,"Southern America"
"19115","22875",,"Northern Africa"
"19116","22913",,"Northern America"
"19117","22902",,"Southern America"
"19119","22931",,"Southern Africa"
"19120","22932",,"Southern Africa"
"19121","22968",,"Africa"
"19122","23017",,"Northern America"
"19124","23087",,"Southern Africa"
"19125","23088",,"Europe"
"19128","23377",,"Northern Africa"
"19130","23603",,"Southern Africa"
"19131","23608",,"Europe"
"19132","23627",,"Africa"
"19134","23672",,"Southern Africa"
"19135","23675",,"Southern Africa"
"19138","23701",,"Northern America"
"19139","23704",,"Southern Africa"
"19140","23765",,"Northern America"
"19141","23762",,"Northern America"
"19142","23772",,"Northern America"
"19143","23783",,"Northern America"
"19144","23815",,"Southern America"
"19145","22975",,"Southern America"
"19146","23836",,"Southern America"
"19148","23861",,"Europe"
"19150","24013",,"Northern America"
"19151","24021",,"Southern America"
"19155","24054",,"Northern America"
"19156","24104",,"Europe"
"19157","24108",,"Northern America"
"19158","17353",,"Eastern Asia"
"19160","17367",,"Eastern Asia"
"19162","17373",,"Europe"
"19163","7900",,"Southern America"
"19164","6125",,"Northern America"
"19165","14914",,"Europe"
"19166","14933",,"Europe"
"19167","14951",,"Europe"
"19168","18238",,"Northern America"
"19169","18196",,"Northern America"
"19170","18213",,"Northern Africa"
"19171","18246",,"Southern Africa"
"19172","18208",,"Southern America"
"19175","17886",,"Europe"
"19176","17957",,"Europe"
"19179","15239",,"Europe"
"19181","15265",,"Arabian Peninsula"
"19182","15286",,"Europe"
"19184","15632",,"Arabian Peninsula"
"19187","15795",,"Arabian Peninsula"
"19190","16032",,"Southern America"
"19191","16070",,"Europe"
"19192","16078",,"Arabian Peninsula"
"19194","16094",,"Northern America"
"19195","16127",,"Europe"
"19196","16163",,"Europe"
"19197","16167",,"Europe"
"19199","16402",,"Arabian Peninsula"
"19200","16344",,"Northern America"
"19203","7277",,"Southern America"
"19207","7283",,"Northern America"
