language,license,rightsHolder,datasetID,institutionCode,datasetName,taxonID,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,19,Pogonatum dentatum (Menzies ex Brid.) Brid.,Plantae,Bryophyta,Bryopsida,Polytrichales,Polytrichaceae,Pogonatum,dentatum,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 2. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,34,Polytrichum hyperboreum R.Br.,Plantae,Bryophyta,Bryopsida,Polytrichales,Polytrichaceae,Polytrichum,hyperboreum,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 2. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,36,Orthodontium lineare Schwägr.,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Orthodontium,lineare,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 2. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,42,Acrophyllum dentatum (Hook. f. & W.) Vitt & Crosby,Plantae,Bryophyta,Bryopsida,Hookeriales,Daltoniaceae,Acrophyllum,dentatum,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 4. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,43,Calyptrochaeta apiculata Desv.,Plantae,Bryophyta,Bryopsida,Hookeriales,Daltoniaceae,Calyptrochaeta,apiculata,,species,Navajas M et al. (2010) Mites and ticks (Acari). Chapter 7.4. In: Roques A et al. (Eds) Arthropod invasions in Europe. BioRisk 4(1): 149–192.
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,46,Hennediella macrophylla (R. Br. bis) Paris,Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Hennediella,macrophylla,,infraspecificname,Navajas M et al. (2010) Mites and ticks (Acari). Chapter 7.4. In: Roques A et al. (Eds) Arthropod invasions in Europe. BioRisk 4(1): 149–192.
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,48,Hennediella stanfordensis (Steere) Blockeel,Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Hennediella,stanfordensis,,species,"Babalonas D, Georgiadis Th, Georghiou K et al (2001) Turboveg database of vegetation releves in the Natura 2000 sites of Greece. Project: Identification and description of habitat types in sites of interest for nature conservation. Ministry of Environment"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,51,Syntrichia amplexa (Lesq.) R.H. Zander,Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Syntrichia,amplexa,,species,"Αραμπατζής Θ. (ed) (2001) Θάμνοι και δέντρα στην Ελλάδα, τόμος ΙΙ. Οικολογική Κίνηση Δράμας - Τεχνολογικό Εκπαιδευτικό Ίδρυμα Καβάλας, Δράμα"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,53,Tortula freibergii Dixon & Loeske,Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Tortula,freibergii,,species,"Αραμπατζής Θ. (ed) (2001) Θάμνοι και δέντρα στην Ελλάδα, τόμος ΙΙ. Οικολογική Κίνηση Δράμας - Τεχνολογικό Εκπαιδευτικό Ίδρυμα Καβάλας, Δράμα"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,54,Campylopus introflexus (Hedw.) Brid.,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Campylopus,introflexus,,species,"Davis PH et al (eds) (1967) Flora of Turkey and the East Aegean Islands, vol 2. University Press, Edinburgh"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,65,Selaginella apoda (L.) Spring,Plantae,Lycopodiophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,apoda,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,67,Selaginella kraussiana (G. Kunze) A. Braun,Plantae,Lycopodiophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,kraussiana,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,77,Botrychium simplex Hitchc.,Plantae,Polypodiophyta,Pteridopsida,Ophioglossales,Ophioglossaceae,Botrychium,simplex,,species,"Greuter W, Burdet HM, Long G (eds) (1984) Med - Checklist, vol 1. Conservatoire et Jardin botaniques de la Ville de Genève, Genève"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,78,Osmunda regalis L.,Plantae,Polypodiophyta,Pteridopsida,Osmundales,Osmundaceae,Osmunda,regalis,,species,"Greuter W, Burdet HM, Long G (eds) (1984) Med - Checklist, vol 1. Conservatoire et Jardin botaniques de la Ville de Genève, Genève"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,81,Dicksonia antarctica Labill.,Plantae,Polypodiophyta,Pteridopsida,Filicales,Dicksoniaceae,Dicksonia,antarctica,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,83,Dennstaedtia punctilobula (Michx.) Moore,Plantae,Polypodiophyta,Pteridopsida,Filicales,Dennstaedtiaceae,Dennstaedtia,punctilobula,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,85,Microlepia platyphylla (D. Don) J.E. Sm.,Plantae,Polypodiophyta,Pteridopsida,Filicales,Dennstaedtiaceae,Microlepia,platyphylla,,species,"Greuter W, Burdet HM, Long G (eds) (1984) Med - Checklist, vol 1. Conservatoire et Jardin botaniques de la Ville de Genève, Genève"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,86,Nephrolepis cordifolia (L.) C. Presl,Plantae,Polypodiophyta,Pteridopsida,Filicales,Polypodiaceae,Nephrolepis,cordifolia,,species,"Davis PH et al (eds) (1965) Flora of Turkey and the East Aegean Islands, vol 1. University Press, Edinburgh"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,87,Nephrolepis exaltata (L.) Schott,Plantae,Polypodiophyta,Pteridopsida,Filicales,Polypodiaceae,Nephrolepis,exaltata,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,88,Sphaeropteris cooperi (F.Müll.) R.M. Tryon,Plantae,Polypodiophyta,Pteridopsida,Filicales,Cytheaceae,Sphaeropteris,cooperi,,species,"Davis PH et al (eds) (1965) Flora of Turkey and the East Aegean Islands, vol 1. University Press, Edinburgh"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,90,Blechnum capense (L.) Schlecht.,Plantae,Polypodiophyta,Pteridopsida,Filicales,Blechnaceae,Blechnum,capense,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,91,Blechnum cordatum (Desv.) Hieron,Plantae,Polypodiophyta,Pteridopsida,Filicales,Blechnaceae,Blechnum,cordatum,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,94,Blechnum occidentale L.,Plantae,Polypodiophyta,Pteridopsida,Filicales,Blechnaceae,Blechnum,occidentale,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,95,Blechnum occidentale L. appendiculata Hieron.,Plantae,Polypodiophyta,Pteridopsida,Filicales,Blechnaceae,Blechnum,occidentale,appendiculata,infraspecificname,"Davis PH et al (eds) (1965) Flora of Turkey and the East Aegean Islands, vol 1. University Press, Edinburgh"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,97,Blechnum cant (L.) Roth,Plantae,Polypodiophyta,Pteridopsida,Filicales,Blechnaceae,Blechnum,spicant,,genus,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,105,Doodia caudata (Cav.) R. Br.,Plantae,Polypodiophyta,Pteridopsida,Filicales,Blechnaceae,Doodia,caudata,,species,"Greuter W, Burdet HM, Long G (eds) (1984) Med - Checklist, vol 1. Conservatoire et Jardin botaniques de la Ville de Genève, Genève"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,107,Deparia petersenii (Kunze) M. Kato,Plantae,Polypodiophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Deparia,petersenii,,species,"Greuter W, Burdet HM, Long G (eds) (1984) Med - Checklist, vol 1. Conservatoire et Jardin botaniques de la Ville de Genève, Genève"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,108,Aenium foreziense Legrand [in Sched.],Plantae,Polypodiophyta,Pteridopsida,Filicales,Aspleniaceae,Asplenium,foreziense,,genus,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,119,Phyllitis scolopendrium (L.) Newman,Plantae,Polypodiophyta,Pteridopsida,Filicales,Aspleniaceae,Phyllitis,scolopendrium,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,130,Adiantum capillus-veneris L.,Plantae,Polypodiophyta,Pteridopsida,Filicales,Adiantaceae,Adiantum,capillus-veneris,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,139,Adiantum hidulum Sw.,Plantae,Polypodiophyta,Pteridopsida,Filicales,Adiantaceae,Adiantum,hispidulum,,genus,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,141,Adiantum raddianum C.Presl,Plantae,Polypodiophyta,Pteridopsida,Filicales,Adiantaceae,Adiantum,raddianum,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,143,Ceratopteris thalictroides (L.) Brongn.,Plantae,Polypodiophyta,Pteridopsida,Filicales,Adiantaceae,Ceratopteris,thalictroides,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,145,Onychium japonicum (Thunb.) G. Kunze,Plantae,Polypodiophyta,Pteridopsida,Filicales,Adiantaceae,Onychium,japonicum,,species,"Greuter W, Burdet HM, Long G (eds) (1984) Med - Checklist, vol 1. Conservatoire et Jardin botaniques de la Ville de Genève, Genève"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,146,Phlebodium aureum (L.) J. Smith,Plantae,Polypodiophyta,Pteridopsida,Filicales,Polypodiaceae,Phlebodium,aureum,,species,"Greuter W, Burdet HM, Long G (eds) (1984) Med - Checklist, vol 1. Conservatoire et Jardin botaniques de la Ville de Genève, Genève"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,148,Phymatosorus diversifolius (Willd.) Pichi Serm.,Plantae,Polypodiophyta,Pteridopsida,Filicales,Polypodiaceae,Phymatosorus,diversifolius,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,152,Platycerium bifurcatum (Cav.) C. Chr.,Plantae,Polypodiophyta,Pteridopsida,Filicales,Polypodiaceae,Platycerium,bifurcatum,,species,"Greuter W, Burdet HM, Long G (eds) (1984) Med - Checklist, vol 1. Conservatoire et Jardin botaniques de la Ville de Genève, Genève"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,154,Polypodium herium Maxon,Plantae,Polypodiophyta,Pteridopsida,Filicales,Polypodiaceae,Polypodium,hesperium,,genus,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,156,Diplazium esculentum (Retz.) Sw.,Plantae,Polypodiophyta,Pteridopsida,Filicales,Woodsiaceae,Diplazium,esculentum,,species,"Greuter W, Burdet HM, Long G (eds) (1984) Med - Checklist, vol 1. Conservatoire et Jardin botaniques de la Ville de Genève, Genève"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,157,Matteuccia struthiopteris (L.) Tod.,Plantae,Polypodiophyta,Pteridopsida,Filicales,Woodsiaceae,Matteuccia,struthiopteris,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,170,Onoclea sensibilis L.,Plantae,Polypodiophyta,Pteridopsida,Filicales,Woodsiaceae,Onoclea,sensibilis,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,173,Cyrtomium falcatum (L. f.) C. Presl,Plantae,Polypodiophyta,Pteridopsida,Filicales,Dryopteridaceae,Cyrtomium,falcatum,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,188,Cyrtomium fortunei J. Smith,Plantae,Polypodiophyta,Pteridopsida,Filicales,Dryopteridaceae,Cyrtomium,fortunei,,species,"Greuter W, Burdet HM, Long G (eds) (1984) Med - Checklist, vol 1. Conservatoire et Jardin botaniques de la Ville de Genève, Genève"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,189,Cystopteris bulbifera (L.) Bernh.,Plantae,Polypodiophyta,Pteridopsida,Filicales,Dryopteridaceae,Cystopteris,bulbifera,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,193,Dryopteris oreades Fomin,Plantae,Polypodiophyta,Pteridopsida,Filicales,Dryopteridaceae,Dryopteris,oreades,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,208,Polystichum aculeatum (L.) Roth,Plantae,Polypodiophyta,Pteridopsida,Filicales,Dryopteridaceae,Polystichum,aculeatum,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,224,Polystichum braunii (Spenn.) Fée,Plantae,Polypodiophyta,Pteridopsida,Filicales,Dryopteridaceae,Polystichum,braunii,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,225,Polystichum lonchitis (L.) Roth,Plantae,Polypodiophyta,Pteridopsida,Filicales,Dryopteridaceae,Polystichum,lonchitis,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,227,Polystichum munitum (Kaulf.) C.Presl,Plantae,Polypodiophyta,Pteridopsida,Filicales,Dryopteridaceae,Polystichum,munitum,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,230,Rumohra adiantiformis (Forster) Ching,Plantae,Polypodiophyta,Pteridopsida,Filicales,Dryopteridaceae,Rumohra,adiantiformis,,species,"Greuter W, Burdet HM, Long G (eds) (1984) Med - Checklist, vol 1. Conservatoire et Jardin botaniques de la Ville de Genève, Genève"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,232,Pellaea viridis (Forssk.) Prantl,Plantae,Polypodiophyta,Pteridopsida,Filicales,Pteridaceae,Pellaea,viridis,,species,"Greuter W, Burdet HM, Long G (eds) (1984) Med - Checklist, vol 1. Conservatoire et Jardin botaniques de la Ville de Genève, Genève"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,233,Pityrogramma calomelanos (L.) Link,Plantae,Polypodiophyta,Pteridopsida,Filicales,Pteridaceae,Pityrogramma,calomelanos,,species,"Greuter W, Burdet HM, Long G (eds) (1984) Med - Checklist, vol 1. Conservatoire et Jardin botaniques de la Ville de Genève, Genève"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,234,Pityrogramma ebenea (L.) Proctor,Plantae,Polypodiophyta,Pteridopsida,Filicales,Pteridaceae,Pityrogramma,ebenea,,species,"Greuter W, Burdet HM, Long G (eds) (1984) Med - Checklist, vol 1. Conservatoire et Jardin botaniques de la Ville de Genève, Genève"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,235,Pteris cretica,Plantae,Polypodiophyta,Pteridopsida,Filicales,Pteridaceae,Pteris,cretica,,species,Navajas M et al. (2010) Mites and ticks (Acari). Chapter 7.4. In: Roques A et al. (Eds) Arthropod invasions in Europe. BioRisk 4(1): 149–192.
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,239,Pteris multifida Poir.,Plantae,Polypodiophyta,Pteridopsida,Filicales,Pteridaceae,Pteris,multifida,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,242,Pteris tremula R.Br.,Plantae,Polypodiophyta,Pteridopsida,Filicales,Pteridaceae,Pteris,tremula,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,244,Pteris vittata L.,Plantae,Polypodiophyta,Pteridopsida,Filicales,Pteridaceae,Pteris,vittata,,species,"Hanelt P (ed) (2001) Mansfeld's encyclopedia of agricultural and horticultural crops, vol 1. Springer, Berlin, Heidelberg, New York"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,253,Equisetum arvense L.,Plantae,Equisetophyta,Equisetopsida,Equisetales,Equisetaceae,Equisetum,arvense,,species,"Greuter W, Burdet HM, Long G (eds) (1984) Med - Checklist, vol 1. Conservatoire et Jardin botaniques de la Ville de Genève, Genève"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,254,Equisetum palustre L.,Plantae,Equisetophyta,Equisetopsida,Equisetales,Equisetaceae,Equisetum,palustre,,species,"Greuter W, Burdet HM, Long G (eds) (1984) Med - Checklist, vol 1. Conservatoire et Jardin botaniques de la Ville de Genève, Genève"
en,http://creativecommons.org/licenses/by/4.0/,CEH,"",CEH,DAISIE - Inventory of alien invasive species in Europe,255,Equisetum ramosissimum,Plantae,Equisetophyta,Equisetopsida,Equisetales,Equisetaceae,Equisetum,ramosissimum,,species,Navajas M et al. (2010) Mites and ticks (Acari). Chapter 7.4. In: Roques A et al. (Eds) Arthropod invasions in Europe. BioRisk 4(1): 149–192.
